isolate_name,isolate_species,isolate_colDate,isolate_colLocation,isolate_sourceType,isolate_sourceName,profile_1,profile_2,profile_3
Isolate292,Species1,2020-01-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate293,Species1,2019-11-20,Ward 6,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate294,Species1,2019-11-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate295,Species1,2019-12-20,Ward 6,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate296,Species2,2019-09-22,Ward 6,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate297,Species2,2019-12-17,Ward 6,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate298,Species2,2019-04-06,Ward 6,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate299,Species2,2019-09-02,Ward 6,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate300,Species2,2019-04-28,Ward 6,Others,NA,Sp2 NF,ResGeneB,NA
Isolate301,Species2,2019-11-20,Ward 6,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate302,Species2,2019-09-24,Ward 6,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate303,Species2,2019-09-28,Ward 6,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate304,Species2,2019-04-29,Ward 6,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate305,Species2,2019-05-01,Ward 6,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate306,Species1,2018-03-28,Ward 6,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate307,Species1,2018-08-05,Ward 6,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate308,Species1,2019-08-16,Ward 6,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate309,Species1,2018-01-27,Ward 6,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate310,Species1,2019-12-17,Ward 6,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate311,Species1,2020-01-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate312,Species1,2019-11-20,Ward 6,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate313,Species1,2019-11-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate314,Species1,2019-12-20,Ward 6,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate315,Species2,2019-09-22,Ward 6,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate316,Species2,2019-12-17,Ward 6,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate317,Species2,2019-04-06,Ward 6,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate318,Species2,2019-09-02,Ward 6,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate319,Species2,2019-04-28,Ward 6,Others,NA,Sp2 NF,ResGeneB,NA
Isolate320,Species2,2019-11-20,Ward 6,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate321,Species2,2019-09-24,Ward 6,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate322,Species2,2019-09-28,Ward 6,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate323,Species2,2019-04-29,Ward 6,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate324,Species2,2019-05-01,Ward 6,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate325,Species1,2018-03-28,Ward 6,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate326,Species1,2018-08-05,Ward 6,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate327,Species1,2019-08-16,Ward 6,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate328,Species1,2018-01-27,Ward 6,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate329,Species1,2019-12-17,Ward 6,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate330,Species1,2020-01-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate331,Species1,2019-11-20,Ward 6,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate332,Species1,2019-11-12,Ward 6,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate333,Species1,2019-12-20,Ward 6,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate334,Species2,2019-09-22,Ward 6,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate335,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate336,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate337,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate338,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate339,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate340,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate341,Species2,2019-09-28,Ward 7,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate342,Species2,2019-04-29,Ward 7,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate343,Species2,2019-05-01,Ward 7,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate344,Species1,2018-03-28,Ward 7,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate345,Species1,2018-08-05,Ward 7,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate346,Species1,2019-08-16,Ward 7,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate347,Species1,2018-01-27,Ward 7,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate348,Species1,2019-12-17,Ward 7,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate349,Species1,2020-01-12,Ward 7,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate350,Species1,2019-11-20,Ward 7,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate351,Species2,2019-05-01,Ward 7,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate352,Species1,2018-03-28,Ward 7,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate353,Species1,2018-08-05,Ward 7,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate354,Species1,2019-08-16,Ward 7,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate355,Species1,2018-01-27,Ward 7,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate356,Species1,2019-12-17,Ward 7,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate357,Species1,2020-01-12,Ward 7,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate358,Species1,2019-11-20,Ward 7,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate359,Species1,2019-11-12,Ward 7,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate360,Species1,2019-12-20,Ward 7,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate361,Species2,2019-09-22,Ward 7,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate362,Species2,2019-12-17,Ward 7,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate363,Species2,2019-04-06,Ward 7,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate364,Species2,2019-09-02,Ward 7,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate365,Species2,2019-04-28,Ward 7,Others,NA,Sp2 NF,ResGeneB,NA
Isolate366,Species2,2019-11-20,Ward 7,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate367,Species2,2019-09-24,Ward 7,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate368,Species2,2019-09-28,Ward 7,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate369,Species2,2019-04-29,Ward 7,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate370,Species2,2019-05-01,Ward 7,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate371,Species1,2018-03-28,Ward 7,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate372,Species1,2018-08-05,Ward 7,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate373,Species1,2019-08-16,Ward 7,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate374,Species1,2018-01-27,Ward 7,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate375,Species1,2019-12-17,Ward 7,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate376,Species1,2020-01-12,Ward 7,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate377,Species1,2019-11-20,Ward 7,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate378,Species1,2019-11-12,Ward 7,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate379,Species1,2019-12-20,Ward 7,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate380,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate381,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate382,Species2,2019-04-06,Ward 9,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate383,Species2,2019-09-02,Ward 9,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate384,Species2,2019-04-28,Ward 9,Others,NA,Sp2 NF,ResGeneB,NA
Isolate385,Species2,2019-11-20,Ward 9,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate386,Species2,2019-09-24,Ward 9,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate387,Species2,2019-09-28,Ward 9,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate388,Species2,2019-04-29,Ward 9,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate389,Species2,2019-05-01,Ward 9,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate390,Species1,2018-03-28,Ward 9,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate391,Species1,2018-08-05,Ward 9,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate392,Species1,2019-08-16,Ward 9,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate393,Species1,2018-01-27,Ward 9,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate394,Species1,2019-12-17,Ward 9,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate395,Species1,2020-01-12,Ward 9,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate396,Species1,2019-11-20,Ward 9,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate397,Species1,2019-11-12,Ward 9,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate398,Species1,2019-12-20,Ward 9,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate399,Species2,2019-09-22,Ward 9,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate400,Species2,2019-12-17,Ward 9,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate401,Species2,2019-04-06,Ward 9,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate402,Species2,2019-09-02,Ward 9,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate403,Species2,2019-04-28,Ward 9,Others,NA,Sp2 NF,ResGeneB,NA
Isolate404,Species2,2019-11-20,Ward 9,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate405,Species2,2019-09-24,Ward 9,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate406,Species2,2019-09-28,Ward 9,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate407,Species2,2019-04-29,Ward 9,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate408,Species2,2019-05-01,Ward 9,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate409,Species1,2018-03-28,Ward 9,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate410,Species1,2018-08-05,Ward 9,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate411,Species1,2019-08-16,Ward 9,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate412,Species1,2018-01-27,Ward 9,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate413,Species1,2019-12-17,Ward 9,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate414,Species1,2020-01-12,Ward 9,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate415,Species1,2019-11-20,Ward 9,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate416,Species1,2019-11-12,Ward 9,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate417,Species1,2019-12-20,Ward 9,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate418,Species2,2019-09-22,Ward 9,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate419,Species2,2019-12-17,Ward 9,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate420,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate421,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate422,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate423,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate424,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate425,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate426,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate427,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate428,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate429,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate430,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate431,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate432,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate433,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate434,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate435,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate436,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate437,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate438,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate439,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate440,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate441,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate442,Species2,2019-11-20,Ward 35,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate443,Species2,2019-09-24,Ward 35,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate444,Species2,2019-09-28,Ward 35,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate445,Species2,2019-04-29,Ward 35,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate446,Species2,2019-05-01,Ward 35,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate447,Species1,2018-03-28,Ward 35,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate448,Species1,2018-08-05,Ward 35,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate449,Species1,2019-08-16,Ward 35,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate450,Species1,2018-01-27,Ward 35,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate451,Species1,2019-12-17,Ward 35,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate452,Species1,2020-01-12,Ward 35,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate453,Species1,2019-11-20,Ward 35,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate454,Species1,2019-11-12,Ward 35,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate455,Species1,2019-12-20,Ward 35,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate456,Species2,2019-09-22,Ward 35,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate457,Species2,2019-12-17,Ward 35,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate458,Species2,2019-04-06,Ward 35,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate459,Species2,2019-09-02,Ward 35,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate460,Species2,2019-04-28,Ward 35,Others,NA,Sp2 NF,ResGeneB,NA
Isolate461,Species2,2019-11-20,Ward 35,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate462,Species2,2019-09-24,Ward 35,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate463,Species2,2019-09-28,Ward 35,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate464,Species2,2019-04-29,Ward 35,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate465,Species2,2019-05-01,Ward 35,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate466,Species1,2018-03-28,Ward 35,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate467,Species1,2018-08-05,Ward 35,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate468,Species1,2019-08-16,Ward 35,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate469,Species1,2018-01-27,Ward 35,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate470,Species1,2019-12-17,Ward 35,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate471,Species1,2020-01-12,Ward 35,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate472,Species1,2019-11-20,Ward 35,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate473,Species1,2019-11-12,Ward 35,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate474,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate475,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate476,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate477,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate478,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate479,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate480,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate481,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate482,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate483,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate484,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate485,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate486,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate487,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate488,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate489,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate490,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate491,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate492,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate493,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate494,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate495,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate496,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate497,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate498,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate499,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate500,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate501,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate502,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate503,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate504,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate505,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate506,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate507,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate508,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate509,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate510,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate511,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate512,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate513,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate514,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate515,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate516,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate517,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate518,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate519,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate520,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate521,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate522,Species2,2019-12-17,Ward 56,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate523,Species2,2019-04-06,Ward 56,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate524,Species2,2019-09-02,Ward 56,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate525,Species2,2019-04-28,Ward 56,Others,NA,Sp2 NF,ResGeneB,NA
Isolate526,Species2,2019-11-20,Ward 56,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate527,Species2,2019-09-24,Ward 56,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate528,Species2,2019-09-28,Ward 56,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate529,Species2,2019-04-29,Ward 56,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate530,Species2,2019-05-01,Ward 56,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate531,Species1,2018-03-28,Ward 56,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate532,Species1,2018-08-05,Ward 56,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate533,Species1,2019-08-16,Ward 56,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate534,Species1,2018-01-27,Ward 56,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate535,Species1,2019-12-17,Ward 56,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate536,Species1,2020-01-12,Ward 56,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate537,Species1,2019-11-20,Ward 56,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate538,Species1,2019-11-12,Ward 56,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate539,Species1,2019-12-20,Ward 56,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate540,Species2,2019-09-22,Ward 56,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate541,Species2,2019-12-17,Ward 56,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate542,Species2,2019-04-06,Ward 56,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate543,Species2,2019-09-02,Ward 56,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate544,Species2,2019-04-28,Ward 56,Others,NA,Sp2 NF,ResGeneB,NA
Isolate545,Species2,2019-11-20,Ward 56,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate546,Species2,2019-09-24,Ward 56,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate547,Species2,2019-09-28,Ward 56,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate548,Species2,2019-04-29,Ward 56,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate549,Species2,2019-05-01,Ward 56,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate550,Species1,2018-03-28,Ward 56,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate551,Species1,2018-08-05,Ward 56,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate552,Species1,2019-08-16,Ward 56,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate553,Species1,2018-01-27,Ward 56,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate554,Species1,2019-12-17,Ward 56,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate555,Species1,2020-01-12,Ward 56,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate556,Species1,2019-11-20,Ward 56,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate557,Species1,2019-11-12,Ward 56,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate558,Species1,2019-12-20,Ward 56,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate559,Species2,2019-09-22,Ward 56,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate560,Species2,2019-12-17,Ward 56,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate561,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate562,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate563,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate564,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate565,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate566,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate567,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate568,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate569,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate570,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate571,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate572,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate573,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate574,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate575,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate576,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate577,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate578,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate579,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate580,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate581,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate582,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
